Elementos,Aspectos,Esfera de Governo,Local,Tipo de documento,Título do documento,Ano,Tipo de Legislação,Descrição,Trecho da Lei,Relevância,Link,observações 
Acessibilidade ,geral,Federal,Brasil,Lei ,"Lei Brasileira de Inclusão 2015 LEI Nº 13.146, DE 6 DE JULHO DE 2015.",2015,orientação,O direito ao transporte e à mobilidade da pessoa com deficiência ou com mobilidade reduzida deve ser assegurado em igualdade de oportunidades com as demais pessoas.,"Art. 46.  O direito ao transporte e à mobilidade da pessoa com deficiência ou com mobilidade reduzida será assegurado em igualdade de oportunidades com as demais pessoas, por meio de identificação e de eliminação de todos os obstáculos e barreiras ao seu acesso.
§ 1o  Para fins de acessibilidade aos serviços de transporte coletivo terrestre, aquaviário e aéreo, em todas as jurisdições, consideram-se como integrantes desses serviços os veículos, os terminais, as estações, os pontos de parada, o sistema viário e a prestação do serviço.
",sim,http://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2015/Lei/L13146.htm,
Acessibilidade ,geral,Federal,Brasil,Lei,Política Nacional de Mobilidade Urbana. Lei 12587 de 2012,2012,orientação,"Fazem parte dos princípios, diretrizes e objetivos da Política Nacional de Mobilidade Urbana a acessibilidade universal e prioridades aos modos de transporte não motorizados e transporte coletivo.","Art. 5o  A Política Nacional de Mobilidade Urbana está fundamentada nos seguintes princípios: 
I - acessibilidade universal
VI - segurança nos deslocamentos das pessoas; 
VIII - equidade no uso do espaço público de circulação, vias e logradouros
Art. 6o  A Política Nacional de Mobilidade Urbana é orientada pelas seguintes diretrizes: 
II - prioridade dos modos de transportes não motorizados sobre os motorizados e dos serviços de transporte público coletivo sobre o transporte individual motorizado; 
Art. 7o  A Política Nacional de Mobilidade Urbana possui os seguintes objetivos: 
III - proporcionar melhoria nas condições urbanas da população no que se refere à acessibilidade e à mobilidade; 
",sim,http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12587.htm,
Acessibilidade ,geral,Município,São Paulo,Plano,Plano Municipal de Mobilidade Urbana de São Paulo (Decreto 56.834 de 2016),2016,orientação,"Estão entre os princípios, diretrizes e objetivos do Plano de Mobilidade de Sao Paulo a acessibilidade universal e a prioridade ao pedestre e aos modos não motorizados de transporte."," Art. 4º Sem prejuízo do estabelecido na Lei Federal nº 12.587, de 3 de janeiro de 2012, e na Lei nº 16.050, de 2014, o PlanMob/SP 2015 é norteado pelos seguintes princípios:
I - acessibilidade universal; Art. 5º Para direcionar o PlanMob/SP 2015 no sentido de man-tê-lo centrado nos princípios fundamentais elencados no artigo 4º deste decreto, foram observadas as seguintes diretrizes, as quais refletem demandas próprias da Cidade de São Paulo:
VI - prioridade aos pedestres e aos modos não motorizados de transporte; Art. 5º Para direcionar o PlanMob/SP 2015 no sentido de mantê-lo centrado nos princípios fundamentais elencados no artigo 4º deste decreto, fo-ram observadas as seguintes diretrizes, as quais refletem demandas próprias da Cidade de São Paulo:
V - implementação de ambiente adequado ao deslocamento dos modos não motorizados de transporte;
VI - incentivo à utilização de modos de transporte não motorizados;
VIII - promoção da acessibilidade aos componentes dos sistemas de mobilidade urbana municipais;
IX - promoção da acessibilidade universal no passeio público;
XII - redução do número de acidentes e mortes no trânsito;



",,http://www.prefeitura.sp.gov.br/cidade/secretarias/transportes/planmob/index.php?p=212623,
Acessibilidade ,geral,Município,Rio de Janeiro,Plano ,Plano Diretor do Município do Rio de Janeiro Lei Complementar 111/2011,2011,orientação,"Estão entre os princípios, diretrizes e objetivos do Plano Diretor do Rio de Janeiro a acessibilidade universal e a prioridade ao pedestre e aos modos não motorizados de transporte.","Art. 213. São objetivos da Política de Transportes: I - constituir uma rede hierarquizada e equilibrada de acessibilidade e mobilidade para a Cidade, com prioridade para o transporte público e para os deslocamentos não motorizados, a partir de políticas integradas de transporte, uso e ocupação do solo e meio ambiente; [...] VIII - proporcionar condições seguras de circulação de pedestres e em especial para as pessoas portadoras de deficiência de qualquer natureza, atendendo aos princípios de acessibilidade e mobilidade universal; Art. 214. São diretrizes da Política de Transportes: [...] IV - prevenção de acidentes por meio da promoção da educação para o trânsito; V - garantia de segurança e conforto aos pedestres; [...] VII - atualização do sistema de comunicação visual de informação e sinalização nas vias; [...] XI - implementação de gerenciamento da mobilidade priorizando o transporte público e os modos não-motorizados, visando condições equilibradas e sustentáveis de acessibilidade e mobilidade;[...] XIII - implantar semáforos sonoros nos principais cruzamentos viários da Cidade para a segurança da locomoção dos deficientes visuais; Art. 217. A implementação da Política de Transportes compreenderá: [...] X - promoção da Acessibilidade Universal.",,http://www.rio.rj.gov.br/web/smu/exibeconteudo?id=2879239,
Acessibilidade ,geral,Município,Recife,Plano,Plano Diretor de Recife (Lei 17.511/2008),2008,orientação,Estão entre as diretrizes do Plano Diretor do Recife a prioridade ao pedestre e a acessibilidade.,"Art. 74 São diretrizes do Sistema de Mobilidade Urbana do Recife: […] III - priorização da circulação dos pedestres, bicicletas e dos veículos coletivos; IV - adaptação dos serviços de transportes urbanos e infra-estruturas de mobilidade urbana para a inclusão de pessoas com deficiência e mobilidade reduzida; 

",,http://www.legiscidade.recife.pe.gov.br/lei/17511/,
Acessibilidade ,geral,Federal,Brasil,Código,Código de Trânsito Brasileiro,2015,obrigatoriedade,Determina os locais e formas adequadas para o percurso do pedestre e ciclista desmontado.,"Art. 68: É assegurada ao pedestre a utilização dos passeios ou passagens apropriadas das vias urbanas e dos acostamentos das vias rurais para circulação, podendo a autoridade competente permitir a utilização de parte da calçada para outros fins, desde que não seja prejudicial ao fluxo de pedestres.
§ 1º O ciclista desmontado empurrando a bicicleta equipara-se ao pedestre em direitos e deveres.
§ 2º Nas áreas urbanas, quando não houver passeios ou quando não for possível a utilização destes, a circulação de pedestres na pista de rolamento será feita com prioridade sobre os veículos, pelos bordos da pista, em fila única, exceto em locais proibidos pela sinalização e nas situações em que a segurança ficar comprometida
§ 5º Nos trechos urbanos de vias rurais e nas obras de arte a serem construídas, deverá ser previsto passeio destinado à circulação dos pedestres, que não deverão, nessas condições, usar o acostamento.
§ 6º Onde houver obstrução da calçada ou da passagem para pedestres, o órgão ou entidade com circunscrição sobre a via deverá assegurar a devida sinalização e proteção para circulação de pedestres. .
",sim,http://www.denatran.gov.br/download/CTB2015.pdf,
Acessibilidade ,geral,Federal,Brasil,Lei ,"Lei Brasileira de Inclusão 2015 LEI Nº 13.146, DE 6 DE JULHO DE 2015.",2015,obrigatoriedade,Estabelece que os espaços e vias públicas devem ser acessíveis a todos.,"Art. 112.  A Lei no 10.098, de 19 de dezembro de 2000, passa a vigorar com as seguintes alterações: “Art. 3o  O planejamento e a urbanização das vias públicas, dos parques e dos demais espaços de uso público deverão ser concebidos e executados de forma a torná-los acessíveis para todas as pessoas, inclusive para aquelas com deficiência ou com mobilidade reduzida.",sim,http://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2015/Lei/L13146.htm,Artigo da Lei No 10.098/2000 alterado pela Lei de Inclusão 13146/2015
Acessibilidade ,geral,Federal,Brasil,Lei ,"Lei Brasileira de Inclusão 2015 LEI Nº 13.146, DE 6 DE JULHO DE 2015.",2015,obrigatoriedade,Cidades devem elaborar plano de rotas acessíveis.,"Art. 113.  A Lei no 10.257, de 10 de julho de 2001 (Estatuto da Cidade), passa a vigorar com as seguintes alterações: “Art. 41.  [...] § 3o  As cidades de que trata o caput deste artigo devem elaborar plano de rotas acessíveis, compatível com o plano diretor no qual está inserido, que disponha sobre os passeios públicos a serem implantados ou reformados pelo poder público, com vistas a garantir acessibilidade da pessoa com deficiência ou com mobilidade reduzida a todas as rotas e vias existentes, inclusive as que concentrem os focos geradores de maior circulação de pedestres, como os órgãos públicos e os locais de prestação de serviços públicos e privados de saúde, educação, assistência social, esporte, cultura, correios e telégrafos, bancos, entre outros, sempre que possível de maneira integrada com os sistemas de transporte coletivo de passageiros [...] IV - instituir diretrizes para desenvolvimento urbano, inclusive habitação, saneamento básico, transporte e mobilidade urbana, que incluam regras de acessibilidade aos locais de uso público” (NR)
",sim,http://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2015/Lei/L13146.htm,Artigo da Lei No 10.257/2001 alterado pela Lei de Inclusão 13146/2015
Acessibilidade ,geral,Distrito Federal,Brasília,Cartilha,Cartilha de acessibilidade do Distrito Federal Vol II - Projetos Urbanos,2010,obrigatoriedade,Estabelece que os projetos urbanos devem atender ao desenho universal.,"Os projetos urbanos devem ser elaborados de modo a atender os princípios do desenho universal e a legislação específica, de forma a priorizar a segurança e conforto do pedestre com a implementação de:
a. acessibilidade a todos os espaços públicos e privados, mediante previsão de rotas acessíveis;
b. rotas acessíveis entre equipamentos públicos e sua interligação com pontos de parada de transporte coletivo;
c. articulação dos sistemas Viário Urbano, Rodoviário, de Circulação de Pedestres e de Transporte Público de Passageiros6 .
Entende-se por rota acessível:
a. circulação de pedestres de modo contínuo e sem obstáculos;
b. largura de faixa livre de circulação em função do fluxo de pedestres;
c. pontos de travessias de vias em rotas de circulação de pedestres;
d. desníveis vencidos por meio de rampas, passarelas, rampas rolantes, elevadores, escadas rolantes.",,http://acessibilidade.net.br/downloads/cartilhas/Cartilha_acessibilidade%20_projetos_urbanos-vl2.pdf,
Acessibilidade ,sinalização tátil ,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,orientação,Indica Resolução da Comissão Permanente de Acessibilidade do Município de São Paulo como orientadora dos critérios para instalação de sinalização tátil de alerta e direcional.,"Art. 20. A utilização de sinalização tátil de piso na execução de rampas pré-fabricadas para rebaixamentos de calçadas e guias junto à faixa de travessia de pedestres e junto à marca de canalização de vagas destinadas ao estacionamento de veículos que transportam pessoas com deficiência nas vias e logradouros públicos do Município, nas plataformas de embarque e desembarque e na aplicação de mobiliário urbano, deverá atender aos critérios de projeto e instalação estabelecidos na Resolução CPA/SEHAB-G/014/2004, que editou o documento denominado ""Norma Técnica para Pisos Táteis"", ou regulamentação superveniente que a substitua.",,http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
